,species,count,superkingdom,kingdom,phylum,class,order,family,genus
0,Clostridium pasteurianum,41563,Bacteria,,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium
1,Klebsiella pneumoniae,15514,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella
2,uncultured bacterium,14871,Bacteria,,,,,,
3,Klebsiella pneumoniae subsp. pneumoniae,2949,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella
4,uncultured organism,1545,,,,,,,
5,Escherichia coli,930,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
6,Salmonella enterica subsp. enterica serovar Albany,682,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella
7,Klebsiella sp.,628,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella
8,Klebsiella sp. UIWRF0518,536,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella
9,Enterococcus faecalis,463,Bacteria,,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus
10,uncultured Klebsiella sp.,451,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella
11,Shigella sp.,395,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella
12,Klebsiella variicola,306,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella
13,Escherichia sp.,277,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
14,Klebsiella sp. UIWRF0499,247,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella
15,uncultured Escherichia sp.,213,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
16,Klebsiella sp. NCIM5432,188,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella
17,Klebsiella sp. SUS6K,167,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella
18,Clostridium tyrobutyricum,127,Bacteria,,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium
19,uncultured low G+C Gram-positive bacterium,125,Bacteria,,Firmicutes,,,,
20,Enterobacter cloacae,121,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter
21,uncultured prokaryote,119,,,,,,,
22,Clostridium amylolyticum,103,Bacteria,,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium
23,[Clostridium] indolis,93,Bacteria,,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,
24,uncultured Clostridium sp.,89,Bacteria,,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium
25,Klebsiella quasipneumoniae subsp. quasipneumoniae,80,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella
26,Shigella flexneri 5 str. 8401,70,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella
27,uncultured Enterococcus sp.,64,Bacteria,,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus
28,endosymbiont of Sphenophorus levis,58,Bacteria,,Proteobacteria,Gammaproteobacteria,,,Candidatus Nardonella
29,Klebsiella sp. HC1,55,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella
30,Shigella flexneri,51,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella
